datetime,training_data,current_data,predicted_values 
01/09/22,45,,
02/09/22,50,,
03/09/22,40,,
04/09/22,36,,
05/09/22,80,,
06/09/22,53,,
07/09/22,38,,
08/09/22,34,,
09/09/22,80,,
10/09/22,34.5,,
11/09/22,34.5,,
12/09/22,24,,
13/09/22,46,,
14/09/22,57,,
15/09/22,46,,
16/09/22,46,,
17/09/22,43,,
18/09/22,17,,
19/09/22,50,,
20/09/22,53,,
21/09/22,43,,
22/09/22,65,,
23/09/22,145,,
24/09/22,41,,
25/09/22,105,,
26/09/22,40,,
27/09/22,46,46,46
28/09/22,53,51,40
29/09/22,40,41,30
30/09/22,51,52,36
01/10/22,65,63,55
02/10/22,25,23,14
03/10/22,60,58,50
04/10/22,58,55,46
05/10/22,55,53,44
06/10/22,66,63,53
07/10/22,50,48,40
08/10/22,70,67,60
09/10/22,53,51,58
10/10/22,57,55,48
11/10/22,56,54,53
12/10/22,48,45,45
13/10/22,37,35,47
