datetime,training_data
01/09/22,45
02/09/22,58
03/09/22,94
04/09/22,59
05/09/22,56
06/09/22,21
07/09/22,60
08/09/22,61
09/09/22,75
10/09/22,57
11/09/22,78
12/09/22,60
13/09/22,53
14/09/22,34
15/09/22,82
16/09/22,65
17/09/22,54
18/09/22,38
19/09/22,34
20/09/22,35
21/09/22,32
22/09/22,21
23/09/22,58
24/09/22,62
25/09/22,58
26/09/22,160
27/09/22,65
28/09/22,61
29/09/22,63
30/09/22,58
01/10/22,56
02/10/22,98
03/10/22,57
04/10/22,65
05/10/22,62
06/10/22,43
07/10/22,54
08/10/22,72
09/10/22,17
10/10/22,56
11/10/22,54
12/10/22,63
13/10/22,57
14/10/22,68
15/10/22,67
