datetime,training_data,current_data,predicted_values 
01/09/22,55,,
02/09/22,60,,
03/09/22,48,,
04/09/22,36,,
05/09/22,80,,
06/09/22,58,,
07/09/22,46,,
08/09/22,34,,
09/09/22,84,,
10/09/22,34.5,,
11/09/22,34.5,,
12/09/22,31,,
13/09/22,54,,
14/09/22,68,,
15/09/22,58,,
16/09/22,58,,
17/09/22,50,,
18/09/22,17,,
19/09/22,60,,
20/09/22,65,,
21/09/22,55,,
22/09/22,56,,
23/09/22,51,,
24/09/22,17,,
25/09/22,59,,
26/09/22,63,,
27/09/22,52,,
28/09/22,71,,
29/09/22,158,,
30/09/22,53,53,53
01/10/22,115,112,60
02/10/22,51,48,58
03/10/22,63,60,45
04/10/22,58,60,38
05/10/22,38,36,45
06/10/22,55,53,45
07/10/22,61,58,38
08/10/22,12,10,42
09/10/22,63,65,56
10/10/22,57,55,53
11/10/22,53,50,54
12/10/22,61,58,45
13/10/22,51,48,44
14/10/22,64,60,62
15/10/22,63,66,53
16/10/22,58,56,28
17/10/22,60,58,31
18/10/22,57,60,48
19/10/22,45,45,38
